,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,num_samples,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
46,36devlce37d8V3cICTukvN,0.333,0.332,5,-9.389,1,0.032,0.702,4.87e-05,0.164,0.111,136.854,5307860,240.71927,0.22635,237.7201,-9.389,136.854,0.181,4,0.942,5,0.503,1,0.583
47,1qkjOM8bJESLxmaTFiV6Zx,0.866,0.802,4,-4.168,1,0.0783,0.19,2.15e-05,0.102,0.551,101.993,4178388,189.49605,0.19878,189.49605,-4.168,101.993,0.494,4,1.0,4,0.486,1,0.47
48,4VpkCmCnqgcUcysgHdTbYf,0.479,0.182,10,-16.15,1,0.0301,0.814,0.000918,0.0976,0.193,103.846,3921372,177.84,0.11596,167.29977,-16.15,103.846,0.086,4,0.986,10,1.0,1,0.868
49,4Ngh6rMVUCOFK30oO0iEMD,0.546,0.808,9,-7.413,1,0.0338,0.000864,8.69e-05,0.113,0.489,118.117,6515628,295.49332,0.08122,279.54504,-7.413,118.117,0.724,4,0.923,9,0.42,1,0.503
50,6iTvdHhfGD9Gu0eD7VNRkR,0.382,0.731,0,-5.97,1,0.0353,0.000147,0.00106,0.0945,0.178,131.956,5364324,243.28,0.07261,231.92671,-5.97,131.956,0.938,4,0.838,0,1.0,1,0.984
51,3S2bActYBlskH5gtanFIMO,0.359,0.819,9,-5.731,1,0.0292,0.000521,0.000115,0.167,0.545,151.996,9027564,409.41333,0.06422,391.4594,-5.731,151.996,0.109,4,1.0,9,0.609,1,0.618
52,1LQDe2LxhReHitq7sdgLcN,0.56,0.767,9,-7.978,1,0.0301,0.00331,0.00968,0.323,0.544,111.984,5420772,245.84,0.0,232.4782,-7.978,111.984,0.854,4,1.0,9,0.582,1,0.582
53,0bsFL9VF0BQCIvF2cRn0Sk,0.526,0.786,11,-7.291,1,0.0301,0.00237,3.24e-05,0.266,0.764,113.09,4779852,216.77333,0.10313,203.60417,-7.291,113.09,0.857,4,1.0,11,0.622,1,0.687
54,1SlatjHQbN3SO0JERD4Mwk,0.567,0.523,11,-8.707,1,0.0287,0.0332,0.0,0.0709,0.522,118.067,5959674,270.28,0.0,262.995,-8.707,118.067,0.672,5,0.956,11,0.831,1,0.784
55,5lIYDDewEvlsOw7RSTlnr9,0.533,0.588,6,-8.416,1,0.0277,0.071,3.04e-06,0.102,0.29,97.266,6540030,296.6,4.28989,281.4665,-8.416,97.266,0.263,4,1.0,6,1.0,1,0.884
56,23iSWEI5GZAGxHcJKYCuiC,0.391,0.675,10,-7.478,1,0.0501,0.024,0.0,0.228,0.434,162.172,9061080,410.93332,0.21887,397.485,-7.478,162.172,0.183,4,0.92,10,0.707,1,0.656
57,6ZOdsfgq6ygEPnG3nCIY8L,0.532,0.736,11,-6.901,1,0.0383,0.000146,0.000961,0.292,0.656,125.105,7823634,354.81332,0.1819,329.96716,-6.901,125.105,0.85,4,0.951,11,1.0,1,0.734
58,4V1TOoANnpTNEXaDH95MKe,0.432,0.764,5,-6.622,1,0.0288,0.00308,5.85e-05,0.361,0.573,141.957,8229060,373.2,0.21011,358.94568,-6.622,141.957,0.54,4,1.0,5,0.729,1,0.664
59,2uI2KlfpxGGVnLnpNWdhHS,0.491,0.744,10,-6.409,1,0.0319,0.000734,8.62e-06,0.118,0.549,116.067,4615212,209.30667,0.13351,198.10686,-6.409,116.067,0.727,4,1.0,10,0.888,1,0.695
60,3t5CI2xqUBytrGJGsBqmUV,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,4117470,186.73334,1.03546,182.78168,-4.483,77.001,0.307,4,0.946,1,0.784,1,0.65
